Date	Q	M_Debit_x	"	P"	M_Debit_y
1923-10-05	0.810397963285542	0.57	0.0	0.71
1923-10-06	0.6529492161329224	0.53	0.0	0.45
1923-10-07	0.5719094198043682	0.18	0.0	0.97
1923-10-08	0.48623877797132525	0.61	0.0	0.33
1923-10-09	1.8986466568404128	0.67	4.8	0.55
1923-10-10	2.361731207289294	0.86	9.9	0.78
1923-10-11	1.7249899504220823	0.38	28.2	0.81
1923-10-12	1.562910357764974	0.42	0.0	0.01
1923-10-13	1.022259145115905	0.35	4.55	0.59
1923-10-14	0.7652472196167761	0.84	2.95	0.57
1923-10-15	0.8254482111751306	0.36	0.0	0.3
1923-10-16	0.7652472196167761	0.23	0.85	0.27
1923-10-17	0.6946268256733217	0.12	3.9	0.74
1923-10-18	0.6390566796194561	0.77	0.0	0.45
1923-10-19	0.6112716065925231	0.9	0.0	0.95
1923-10-20	0.6529492161329224	0.45	0.0	0.81
1923-10-21	0.6390566796194561	0.92	0.0	0.6
1923-10-22	0.7802974675063649	0.33	0.0	0.56
1923-10-23	0.6529492161329224	0.64	0.0	0.13
1923-10-24	2.1533431595872976	0.03	18.65	0.11
1923-10-25	3.507865469650275	0.77	6.5	0.18
1923-10-26	2.292268524721962	0.09	0.0	0.25
1923-10-27	2.0838804770199655	0.98	7.35	0.84
1923-10-28	2.6395819375586225	0.87	11.75	0.44
1923-10-29	5.927482245745679	0.22	0.5	0.99
1923-10-30	2.5006565724239582	0.36	0.0	0.25
1923-10-31	2.709044620125955	0.06	0.0	0.86
1923-11-01	2.431193889856626	0.43	0.0	0.62
1923-11-02	1.8986466568404128	0.11	2.0	0.44
1923-11-03	1.7249899504220823	0.49	5.85	0.17
1923-11-04	1.667104381615972	0.68	0.0	0.07
1923-11-05	1.5050247889588637	0.02	0.0	0.22
1923-11-06	1.4587163339139757	0.34	0.0	0.17
1923-11-07	1.3197909687793112	0.32	0.0	0.68
1923-11-08	1.2734825137344232	0.01	4.55	0.1
1923-11-09	1.180865603644647	0.28	6.9	0.42
1923-11-10	1.562910357764974	0.63	27.85	0.23
1923-11-11	1.134557148599759	0.07	0.0	0.66
1923-11-12	1.0917218276832374	0.27	0.0	0.18
1923-11-13	1.022259145115905	0.87	0.0	0.64
1923-11-14	0.952796462548573	0.03	0.0	0.12
1923-11-15	0.8879646254857297	0.1	0.0	0.66
1923-11-16	0.8254482111751306	0.99	0.0	0.67
1923-11-17	0.7953477153959534	0.9	2.0	0.47
1923-11-18	0.7953477153959534	0.27	0.0	0.61
1923-11-19	0.7501969717271875	0.25	0.0	0.98
1923-11-20	0.7085193621867882	0.38	0.0	0.64
1923-11-21	0.6807342891598552	0.02	0.0	0.72
1923-11-22	0.8254482111751306	0.22	0.0	0.84
1923-11-23	0.6529492161329224	0.02	0.0	0.79
1923-11-24	0.6390566796194561	0.41	0.0	0.19
1923-11-25	0.6251641431059896	0.03	0.0	0.55
1923-11-26	0.5846442449417125	0.15	0.0	0.07
1923-11-27	0.559174594667024	0.39	0.0	0.52
1923-11-28	0.5464397695296798	0.38	0.0	0.08
